text,sentiment
The movie was amazing and entertaining,Positive
I really enjoyed this wonderful movie,Positive
The acting was excellent and the story was great,Positive
This film was fantastic and worth watching,Positive
I loved the characters and the story,Positive
The movie was terrible and boring,Negative
"I hated this movie, it was a waste of time",Negative
The acting was poor and the story was awful,Negative
This film was disappointing and extremely slow,Negative
The movie was bad and not enjoyable,Negative
A fantastic story with brilliant acting,Positive
The movie was dull and completely boring,Negative
Great characters and an excellent storyline,Positive
Terrible acting ruined the entire movie,Negative
I would definitely recommend this film,Positive
I would not recommend this boring movie,Negative
The story was interesting and the acting was good,Positive
Nothing about this movie was good,Negative
An enjoyable film with wonderful performances,Positive
The plot was confusing and the movie was disappointing,Negative
